episode,timestep,reward
19,3000,-102.172
22,6000,-104.2461
34,9000,-100.2378
56,12000,-102.3112
73,15000,-103.9376
78,18000,-116.0233
84,21000,-100.2338
93,24000,-100.2128
98,27000,-95.5495
111,30000,-100.5543
131,33000,-105.4634
136,36000,-108.0498
146,39000,-98.6112
154,42000,-97.9288
159,45000,-103.991
166,48000,-97.3943
170,51000,-87.6612
175,54000,-100.7514
180,57000,-100.5708
183,60000,-88.731
185,63000,-106.5073
188,66000,-95.9827
192,69000,-87.9573
194,72000,-76.7196
196,75000,-87.9184
199,78000,-87.093
206,81000,-97.6208
211,84000,-94.5598
213,87000,-66.4578
216,90000,-88.7634
219,93000,-87.4149
221,96000,-118.8612
223,99000,-80.9449
226,102000,-80.0238
228,105000,-67.8754
230,108000,-77.2957
232,111000,-61.9538
236,114000,-83.6178
239,117000,-77.8649
242,120000,-77.5396
244,123000,-67.0408
246,126000,-62.7667
248,129000,-62.6796
250,132000,-61.4634
252,135000,-59.9953
254,138000,-60.8777
256,141000,-60.0716
258,144000,-56.0294
260,147000,-56.4954
262,150000,-75.2071
264,153000,-54.7382
266,156000,-50.1893
268,159000,-51.8155
270,162000,-50.9971
272,165000,-48.9356
274,168000,-49.5846
276,171000,-49.2651
278,174000,-37.5147
280,177000,-44.6484
283,180000,-59.5379
285,183000,-44.5379
287,186000,-47.7003
290,189000,-62.1811
292,192000,-33.0451
295,195000,-89.0406
298,198000,-67.1423
300,201000,-39.8501
303,204000,-63.6873
305,207000,-34.0424
307,210000,-34.2108
309,213000,-75.8911
311,216000,-34.7718
313,219000,-33.2484
317,222000,-73.2067
319,225000,-38.1637
321,228000,-33.141
323,231000,-68.9622
326,234000,-57.2883
328,237000,-27.1491
330,240000,-27.5509
332,243000,-23.3908
334,246000,-26.7983
336,249000,-63.5192
